"Timestamp","DataflowName","DataflowId","WorkspaceName","Category","Status","StartTime","EndTime","DurationMinutes","ErrorMessage"
"10/21/2025 15:38","df_Dim_Customer","","LH_Master_Data","Dimension","Success","10/21/2025 15:30","10/21/2025 15:38","8.2",""
"10/21/2025 15:39","df_Fact_Sales","","LH_Master_Data","FactTable","Failed","10/21/2025 15:34","10/21/2025 15:39","5","Connection timeout"
"2025-10-22 09:56:00","df_Technician_Raw","","","RawSource","Success","","","1.5",""
"2025-10-22 15:18:40","df_VHSTOCK_Raw","","","RawSource","Triggered","","","0",""
"2025-10-22 15:18:41","df_CONTACT_Raw","","","RawSource","Triggered","","","0",""
"2025-10-22 15:20:42","df_Dim_Date","","","Dimension","Triggered","","","0",""
"2025-10-22 15:20:43","df_Dim_Location","","","Dimension","Triggered","","","0",""
"2025-10-22 15:22:44","df_Fact_Branch12_Transactions","","","FactTable","Triggered","","","0",""
"2025-10-22 15:22:45","df_Fact_Top50_JobCodes","","","FactTable","Triggered","","","0",""
"2025-10-23 07:52:44","df_WKROFILE_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:00","df_WKVEHFL_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:01","df_VHSTOCK_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:02","df_WKINVREG_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:03","df_INTRANS_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:04","df_BranchOperational_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:05","df_WarClaim_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:53:06","df_InHist_PmManage_Raw","","","RawSource","Failed","","","0",""
"2025-10-23 07:55:07","df_Dim_Date","","","Dimension","Failed","","","0",""
"2025-10-23 07:55:08","df_Dim_DealerGroupCode","","","Dimension","Failed","","","0",""
"2025-10-23 07:55:09","df_Dim_Customer","","","Dimension","Failed","","","0",""
"2025-10-23 07:55:10","df_Dim_WorkOrderStatus","","","Dimension","Failed","","","0",""
"2025-10-23 07:55:11","df_Dim_WorkOrderType","","","Dimension","Failed","","","0",""
"2025-10-23 07:55:12","df_Dim_PaymentMethod","","","Dimension","Failed","","","0",""
"2025-10-23 07:57:12","df_Fact_Inventory","","","FactTable","Failed","","","0",""
"2025-10-23 07:57:13","df_Fact_InvoiceHeader","","","FactTable","Failed","","","0",""
"2025-10-23 07:57:14","df_Fact_WarrantyClaims","","","FactTable","Failed","","","0",""
"2025-10-23 07:57:15","df_Fact_LaborInvoiced","","","FactTable","Failed","","","0",""
"2025-10-23 07:57:16","df_Fact_Invoice_InventoryAnalysis","","","FactTable","Failed","","","0",""
"2025-10-23 07:57:17","df_Fact_Branch12_Transactions","","","FactTable","Failed","","","0",""
"2025-10-23 09:22:18","df_WKROFILE_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:19","df_WKVEHFL_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:20","df_VHSTOCK_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:21","df_WKINVREG_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:22","df_WKRODESC_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:23","df_WARSUBCI_LABOUR_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:24","df_INTRANS_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:25","df_ARMASTER_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:26","df_INSALORD_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:27","df_INSALPAR_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:28","df_BranchOperational_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:29","df_RepairOrderDetail_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:30","df_TechnicianPunchedDetail_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:31","df_Invoice_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:32","df_ArMaster_Customer_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:33","df_ArMaster_Contact_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:36","df_WarClaim_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:38","df_VhStockAccess_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:39","df_CustomerAnatomy_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:42","df_TechnicianInvoiceDetail_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:22:43","df_InHist_PmManage_Raw","","","RawSource","Triggered","","","0",""
"2025-10-23 09:24:44","df_Dim_Part","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:45","df_Dim_BranchFranchise","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:46","df_Dim_Date","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:47","df_Dim_Franchise","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:48","df_Dim_SLC","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:49","df_Dim_DealerGroupCode","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:50","df_Dim_VendorCode","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:51","df_Dim_CommodityCode","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:52","df_Dim_SlicerControl","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:53","df_Dim_Customer","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:54","df_Dim_Vehicle","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:55","df_Dim_Technicans","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:56","df_Dim_Location","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:57","df_Dim_JobType","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:58","df_Dim_JobCode","","","Dimension","Triggered","","","0",""
"2025-10-23 09:24:59","df_Dim_WorkOrderLookup","","","Dimension","Triggered","","","0",""
"2025-10-23 09:25:00","df_Dim_InvoiceLookup","","","Dimension","Triggered","","","0",""
"2025-10-23 09:25:01","df_Dim_UniqueCustomers","","","Dimension","Triggered","","","0",""
"2025-10-23 09:25:02","df_Dim_WorkOrderType","","","Dimension","Triggered","","","0",""
